Dominican Republic,2022,0.13
Dominican Republic,2021,0.40
Dominican Republic,2020,0.48
Dominican Republic,2019,0.87
Dominican Republic,2018,1.55
Dominican Republic,2017,0.95
Dominican Republic,2016,0.09
Dominican Republic,2015,0.12
Dominican Republic,2014,0.07
Dominican Republic,2013,0.29
Dominican Republic,2012,0.47
Dominican Republic,2011,0.37
Dominican Republic,2010,0.26
Dominican Republic,2009,0.35
Dominican Republic,2008,14.67
Dominican Republic,2007,8.65
Dominican Republic,2006,11.25
Dominican Republic,2005,0.02
Dominican Republic,2004,0.03
Dominican Republic,2003,0.01
Dominican Republic,2002,0.01
