United Arab Emirates,2022,0.07
United Arab Emirates,2021,0.04
United Arab Emirates,2020,0.05
United Arab Emirates,2019,0.36
United Arab Emirates,2018,0.53
United Arab Emirates,2017,0.35
United Arab Emirates,2016,0.66
United Arab Emirates,2015,0.82
United Arab Emirates,2014,0.47
United Arab Emirates,2013,0.75
United Arab Emirates,2012,0.35
United Arab Emirates,2011,0.55
United Arab Emirates,2010,0.75
United Arab Emirates,2009,0.51
United Arab Emirates,2008,0.13
United Arab Emirates,2007,0.05
United Arab Emirates,2006,0.52
United Arab Emirates,2005,0.29
United Arab Emirates,2004,0.12
United Arab Emirates,2003,0.03
United Arab Emirates,2002,0.00
