Central African Republic,2022,0.00
Central African Republic,2021,0.00
Central African Republic,2020,0.00
Central African Republic,2019,0.00
Central African Republic,2018,0.00
Central African Republic,2017,0.00
Central African Republic,2016,0.07
Central African Republic,2015,0.00
Central African Republic,2014,0.00
Central African Republic,2013,0.00
Central African Republic,2012,0.00
Central African Republic,2011,0.00
Central African Republic,2010,0.00
Central African Republic,2009,0.00
Central African Republic,2008,0.00
Central African Republic,2007,0.00
Central African Republic,2006,0.00
Central African Republic,2005,0.00
Central African Republic,2004,0.00
Central African Republic,2003,0.00
Central African Republic,2002,0.00
