Sao Tome and Principe,2022,0.00
Sao Tome and Principe,2021,0.00
Sao Tome and Principe,2020,0.00
Sao Tome and Principe,2019,0.03
Sao Tome and Principe,2018,0.00
Sao Tome and Principe,2017,0.05
Sao Tome and Principe,2016,0.00
Sao Tome and Principe,2015,0.00
Sao Tome and Principe,2014,0.01
Sao Tome and Principe,2013,0.01
Sao Tome and Principe,2012,0.00
Sao Tome and Principe,2011,0.00
Sao Tome and Principe,2010,0.00
Sao Tome and Principe,2009,0.02
Sao Tome and Principe,2008,0.00
Sao Tome and Principe,2007,0.00
Sao Tome and Principe,2006,0.00
Sao Tome and Principe,2005,0.02
Sao Tome and Principe,2004,0.00
Sao Tome and Principe,2003,0.00
Sao Tome and Principe,2002,0.00
